05-Mar 14:09:44,-1.06525562E-10,1.30347220927666E-11
05-Mar 14:10:04,-8.55800052E-11,7.58575163392654E-12
05-Mar 14:12:14,-1.464932351E-10,2.46816410420047E-11
05-Mar 14:12:31,-1.024941204E-10,7.70906464503543E-12
05-Mar 14:16:41,-1.95287267E-10,3.85577799503892E-11
05-Mar 14:17:11,-1.104383822E-10,6.6262341972849E-12
05-Mar 14:19:08,-2.852588157e-10,7.931125349814382e-11
05-Mar 14:19:41,-1.194228758e-10,9.896287184550546e-12
05-Mar 14:21:08,-4.94980802e-10,1.7573529329766045e-10
05-Mar 14:21:35,-1.256895055e-10,1.2152934172375478e-11
05-Mar 14:23:25,-8.85221893e-10,4.0123036113250106e-10
05-Mar 14:23:47,-1.313964086e-10,1.1345621719841511e-11
05-Mar 14:25:41,-1.871319648e-09,8.649580679211538e-10
05-Mar 14:26:01,-1.43061249e-10,1.8931971170741756e-11
