Profile 1;Profile 1;
x;y;
[m];[m];
0;-5.1364076e-08;
7.629643e-10;-5.1334968e-08;
1.5259286e-09;-5.1294694e-08;
2.2888929e-09;-5.1276038e-08;
3.0518572e-09;-5.1255613e-08;
3.8148215e-09;-5.133289e-08;
4.5777858e-09;-5.1400112e-08;
5.3407501e-09;-5.1274132e-08;
6.1037144e-09;-5.1196329e-08;
6.8666787e-09;-5.1222456e-08;
7.629643e-09;-5.1242283e-08;
8.3926073e-09;-5.1402721e-08;
9.1555716e-09;-5.1337114e-08;
9.9185359e-09;-5.1706426e-08;
1.06815e-08;-5.1821626e-08;
1.1444464e-08;-5.2030912e-08;
1.2207429e-08;-5.2047195e-08;
1.2970393e-08;-5.2004764e-08;
1.3733357e-08;-5.2105363e-08;
1.4496322e-08;-5.2117991e-08;
1.5259286e-08;-5.2127336e-08;
1.602225e-08;-5.2117573e-08;
1.6785215e-08;-5.2024105e-08;
1.7548179e-08;-5.2030821e-08;
1.8311143e-08;-5.2060334e-08;
1.9074107e-08;-5.2035718e-08;
1.9837072e-08;-5.2062071e-08;
2.0600036e-08;-5.2066949e-08;
2.1363e-08;-5.2030902e-08;
2.2125965e-08;-5.2017182e-08;
2.2888929e-08;-5.2069779e-08;
2.3651893e-08;-5.2114698e-08;
2.4414858e-08;-5.2127529e-08;
2.5177822e-08;-5.2110027e-08;
