Profile 1;Profile 1;
x;y;
[m];[m];
0;-6.1273895e-08;
4.6339287e-11;-6.1278363e-08;
9.2678573e-11;-6.1284562e-08;
1.3901786e-10;-6.1289616e-08;
1.8535715e-10;-6.1315994e-08;
2.3169643e-10;-6.1308012e-08;
2.7803572e-10;-6.1303256e-08;
3.2437501e-10;-6.1346262e-08;
3.7071429e-10;-6.1382481e-08;
4.1705358e-10;-6.1361719e-08;
4.6339287e-10;-6.1325333e-08;
5.0973215e-10;-6.1414841e-08;
5.5607144e-10;-6.1412572e-08;
6.0241072e-10;-6.1387063e-08;
6.4875001e-10;-6.1396378e-08;
6.950893e-10;-6.1389977e-08;
7.4142858e-10;-6.1450855e-08;
7.8776787e-10;-6.1533615e-08;
8.3410716e-10;-6.1528004e-08;
8.8044644e-10;-6.1509663e-08;
9.2678573e-10;-6.1492351e-08;
9.7312502e-10;-6.1546583e-08;
1.0194643e-09;-6.1526808e-08;
1.0658036e-09;-6.1436066e-08;
1.1121429e-09;-6.1449313e-08;
1.1584822e-09;-6.1528623e-08;
1.2048214e-09;-6.1472055e-08;
1.2511607e-09;-6.1457628e-08;
1.2975e-09;-6.1480433e-08;
1.3438393e-09;-6.1617353e-08;
1.3901786e-09;-6.2074158e-08;
1.4365179e-09;-6.2259019e-08;
1.4828572e-09;-6.2237722e-08;
1.5291965e-09;-6.2227773e-08;
1.5755357e-09;-6.219247e-08;
1.621875e-09;-6.2199406e-08;
1.6682143e-09;-6.2259056e-08;
1.7145536e-09;-6.2253933e-08;
1.7608929e-09;-6.2266926e-08;
1.8072322e-09;-6.2249624e-08;
1.8535715e-09;-6.2214011e-08;
1.8999107e-09;-6.2236571e-08;
1.94625e-09;-6.219595e-08;
1.9925893e-09;-6.2206173e-08;
2.0389286e-09;-6.2233898e-08;
2.0852679e-09;-6.2202159e-08;
2.1316072e-09;-6.2201063e-08;
2.1779465e-09;-6.2194441e-08;
2.2242858e-09;-6.2162109e-08;
2.270625e-09;-6.2210245e-08;
2.3169643e-09;-6.2242006e-08;
2.3633036e-09;-6.217802e-08;
2.4096429e-09;-6.2165973e-08;
2.4559822e-09;-6.2183808e-08;
2.5023215e-09;-6.2145299e-08;
2.5486608e-09;-6.216877e-08;
2.595e-09;-6.2197375e-08;
2.6413393e-09;-6.2158356e-08;
2.6876786e-09;-6.2159468e-08;
2.7340179e-09;-6.2110816e-08;
2.7803572e-09;-6.211666e-08;
2.8266965e-09;-6.2156744e-08;
2.8730358e-09;-6.2174305e-08;
2.9193751e-09;-6.2216923e-08;
2.9657143e-09;-6.2232339e-08;
3.0120536e-09;-6.2244184e-08;
3.0583929e-09;-6.2248594e-08;
3.1047322e-09;-6.2249009e-08;
3.1510715e-09;-6.2259298e-08;
3.1974108e-09;-6.222713e-08;
3.2437501e-09;-6.2243402e-08;
3.2900893e-09;-6.2260287e-08;
3.3364286e-09;-6.2257137e-08;
3.3827679e-09;-6.2174326e-08;
3.4291072e-09;-6.2195068e-08;
3.4754465e-09;-6.2262654e-08;
3.5217858e-09;-6.2208809e-08;
3.5681251e-09;-6.2208299e-08;
